weight,year,age,sex,education,race,asset_total,asset_housing,debt_total,debt_housing,income
8315.872958,1989,55,male,no college,white,48941.51,0,1865.86,0,79844.77
7444.0762943,1989,36,male,some college,white,87882.01,27987.9,26122.04,22390.32,46738.4
8011.1307395,1989,34,female,some college,black,242.56,0,261.22,0,5842.3
11838.424288,1989,65,female,no college,white,130516.91,83963.7,32372.67,13061.02,37001.23
11874.763439,1989,79,male,no college,white,113817.46,106354.02,63252.66,61573.38,25316.63
10658.787612,1989,33,female,some college,white,88702.99,63439.24,66051.45,63439.24,27264.07
4651.6748164,1989,28,female,no college,black,12128.09,0,9702.47,0,15579.47
5037.6440073,1989,64,male,no college,black,0,0,0,0,5842.3
1429.3254033,1989,89,male,some college,white,9120324.04,373172.01,0,0,1071088.35
8446.3897273,1989,25,female,no college,black,3731.72,0,373.17,0,1947.43
6509.0915522,1989,60,male,college degree,white,237673.26,149268.81,26122.04,26122.04,50633.27
7448.5529708,1989,73,male,no college,white,435454.42,83963.7,0,0,66212.73
7828.982038,1989,26,female,no college,black,0,0,0,0,5842.3
6934.9179915,1989,48,female,no college,white,0,0,0,0,1947.43
6929.8984775,1989,65,female,no college,white,211457.92,126878.49,0,0,21421.77
6511.9244598,1989,71,male,no college,white,496318.78,0,0,0,72055.03
8675.8482268,1989,62,female,no college,black,0,0,1212.81,0,9737.17
4261.4667177,1989,36,male,no college,white,3601.11,0,5597.58,0,19474.33
10146.380608,1989,25,male,no college,white,52841.16,42914.78,5131.12,0,38948.67
9878.3253289,1989,69,male,no college,white,94599.11,93293,1119.52,0,17526.9
9526.6536481,1989,63,female,no college,white,0,0,0,0,7789.73
5640.7815661,1989,62,male,college degree,white,895799.42,139939.51,13061.02,0,142162.64
5640.7815661,1989,59,male,college degree,white,782728.3,158598.11,0,0,83739.63
9206.5433087,1989,22,female,no college,other,0,0,2089.76,0,72055.03
8405.7776247,1989,62,male,no college,white,1977.81,0,429.15,0,5842.3
7132.0911632,1989,34,male,no college,Hispanic,65584.98,41048.92,50172.98,33585.48,68160.17
5064.2493083,1989,54,male,no college,white,0,0,1119.52,0,15579.47
10543.617981,1989,68,female,no college,black,75903.19,61573.38,0,0,13632.03
10984.209768,1989,71,male,no college,white,57841.66,55975.8,186.59,0,21421.77
5971.3194958,1989,32,female,some college,black,61759.97,37317.2,18546.65,0,15579.47
7528.6167138,1989,35,female,no college,white,37485.13,37317.2,24256.18,24256.18,11684.6
4970.4471077,1989,80,female,no college,black,0,0,0,0,9737.17
10893.223088,1989,37,male,no college,white,135648.03,93293,36011.1,5597.58,25316.63
9642.996748,1989,40,male,some college,white,559.76,0,298.54,0,37001.23
9473.898264,1989,30,male,some college,white,72210.65,55975.8,25002.52,24256.18,46738.4
7190.6678334,1989,68,male,no college,white,76220.38,50378.22,5597.58,0,23369.2
6938.8585312,1989,75,male,no college,white,767801.42,261220.41,0,0,48685.83
9108.6157229,1989,54,male,some college,white,393323.3,326525.51,14926.88,0,72055.03
7537.3532534,1989,67,male,no college,white,390244.63,261220.41,0,0,31158.93
8680.4416779,1989,52,male,no college,white,72768.54,37317.2,30282.91,13061.02,74002.47
8680.4416779,1989,46,male,no college,white,16662.13,13061.02,0,0,9737.17
8357.8088129,1989,47,male,some college,white,737443.88,121280.9,215693.42,179122.57,194743.34
10464.085293,1989,42,male,no college,white,84579.44,74634.4,77843.68,67170.96,46738.4
10146.380608,1989,32,male,no college,white,13061.02,3731.72,14311.15,0,38948.67
8762.7070067,1989,70,male,no college,white,83030.77,37317.2,0,0,21421.77
7528.6167138,1989,41,male,no college,white,52245.95,46646.5,22390.32,22390.32,15579.47
4692.5840193,1989,46,male,no college,black,0,0,0,0,5842.3
7598.7442291,1989,61,male,no college,white,72861.84,46646.5,7463.44,0,46738.4
8813.8326078,1989,45,male,some college,white,167556.1,119415.04,50751.39,48512.36,95424.24
6261.3692552,1989,23,female,no college,black,0,0,0,0,15579.47
7749.3618874,1989,43,male,no college,white,167572.89,74634.4,69092.8,37317.2,50633.27
8421.7713558,1989,67,male,no college,white,103555.23,74634.4,0,0,29211.5
15365.868111,1989,26,male,no college,white,430099.41,298537.61,207110.47,207110.47,175269
4651.6748164,1989,25,male,college degree,black,16736.76,0,0,0,29211.5
8675.8482268,1989,59,male,no college,black,3377.21,0,0,0,11684.6
8373.8579481,1989,27,male,no college,white,21849.22,0,17165.91,0,50633.27
6922.302094,1989,41,male,some college,white,252450.87,102622.3,48512.36,20524.46,286272.71
7949.8814057,1989,64,female,college degree,white,311094.85,70902.68,0,0,77897.33
5316.5684908,1989,43,male,some college,white,851951.71,61573.38,29853.76,0,54528.13
8796.749975,1989,30,male,some college,white,32969.75,0,11195.16,0,40896.1
7837.3054365,1989,22,female,no college,black,37317.2,37317.2,0,0,3894.87
2938.6663537,1989,35,male,some college,white,699772.16,83963.7,196810.92,91427.14,70107.6
8796.749975,1989,30,male,no college,white,1865.86,0,15300.05,0,40896.1
3898.800355,1989,39,male,some college,white,117343.94,74634.4,34257.19,16792.74,87634.5
8373.8579481,1989,26,male,no college,white,31348.32,0,11269.79,0,62317.87
8712.5757646,1989,60,male,no college,other,332123.09,37317.2,3992.94,0,101266.54
5750.0786129,1989,23,male,no college,white,373.17,0,559.76,0,29211.5
3524.5870184,1989,40,male,college degree,white,292063.08,83963.7,80231.98,67170.96,97371.67
3842.1720252,1989,80,male,no college,white,194142.74,190317.73,0,0,11684.6
9020.2729172,1989,60,female,college degree,black,97883.02,67170.96,22390.32,22390.32,58423
4237.0979223,1989,65,female,some college,white,188451.87,102622.3,3731.72,3731.72,38948.67
7823.6477538,1989,58,female,no college,white,107380.25,54109.94,0,0,15579.47
8207.8202702,1989,67,male,no college,white,31029.25,18658.6,0,0,11684.6
9274.6930537,1989,25,female,college degree,white,3227.94,0,93293,0,11684.6
6540.3514811,1989,73,male,some college,Hispanic,478761.04,195915.31,23323.25,0,93476.8
8899.7139031,1989,57,male,no college,white,156827.41,139939.51,73048.42,65305.1,40896.1
8932.0988301,1989,78,female,no college,white,9329.3,9329.3,0,0,7789.73
4655.0281749,1989,65,female,no college,white,95345.45,65305.1,22726.18,8452.35,29211.5
7385.346228,1989,76,female,no college,white,29853.76,26122.04,0,0,13632.03
4753.2879873,1989,64,male,no college,white,264765.54,80231.98,0,0,44790.97
5326.6404144,1989,55,male,no college,black,126878.49,55975.8,0,0,5842.3
7435.6745924,1989,52,male,college degree,white,404891.64,186586.01,59819.47,44780.64,134372.9
7749.3618874,1989,36,male,some college,white,309732.77,102622.3,45041.86,44780.64,87634.5
5709.7475186,1989,34,male,no college,white,12092.64,0,3041.35,0,68160.17
8503.7752093,1989,54,male,no college,black,129117.52,102622.3,22632.88,14926.88,58423
8016.9059166,1989,67,male,no college,white,151657.11,83963.7,0,0,19474.33
7881.9189443,1989,60,female,college degree,other,22390.32,0,0,0,11684.6
7818.8549509,1989,26,male,some college,white,8415.03,0,36682.81,0,44790.97
5195.4985347,1989,81,female,no college,white,932.93,0,0,0,7789.73
6133.1248228,1989,27,male,no college,white,186809.91,93293,57953.61,44780.64,97371.67
4977.105012,1989,61,male,some college,white,511245.66,111951.6,16792.74,0,134372.9
7323.1759949,1989,60,male,college degree,white,248345.98,121280.9,3731.72,0,60370.43
10141.300173,1989,56,male,no college,white,385038.88,251891.11,65584.98,0,111003.7
10170.326754,1989,33,male,college degree,white,284095.85,233232.51,192183.59,173524.99,87634.5
9370.0315292,1989,28,male,no college,white,41757.95,24256.18,0,0,19474.33
6375.6059703,1989,47,male,college degree,white,272415.57,37317.2,0,0,56475.57
7834.0385865,1989,51,male,no college,white,145779.65,46646.5,5840.14,0,72055.03
9602.2354046,1989,25,male,no college,black,57860.32,55975.8,44780.64,44780.64,37001.23
9050.9511475,1989,57,male,no college,white,183880.51,121280.9,0,0,17526.9
9933.0282692,1989,29,male,college degree,other,79429.66,5597.58,16792.74,0,128530.6
11095.910254,1989,27,male,no college,white,189571.38,111951.6,31719.62,0,66212.73
5640.7815661,1989,56,male,college degree,white,809783.27,173524.99,0,0,122688.3
9401.855627,1989,73,male,no college,Hispanic,3731.72,0,0,0,5842.3
9052.0820961,1989,70,male,no college,white,120534.56,93293,19218.36,16792.74,37001.23
14061.628305,1989,73,female,no college,white,2798.79,0,0,0,19474.33
9862.4279534,1989,33,male,college degree,white,146656.6,111951.6,58028.25,31719.62,66212.73
10931.014706,1989,82,male,no college,white,1865.86,0,0,0,25316.63
12647.024613,1989,77,male,no college,white,20524.46,0,0,0,31158.93
1615.3341463,1989,72,male,college degree,white,5134846.92,419818.52,0,0,274588.11
7181.3995848,1989,51,male,no college,white,182145.26,93293,115683.32,14926.88,95424.24
6411.7936959,1989,66,male,no college,white,27521.44,0,0,0,23369.2
7167.4808705,1989,25,male,some college,white,6679.78,0,0,0,31158.93
5589.408621,1989,40,male,college degree,white,40451.85,0,0,0,44790.97
7785.0953347,1989,34,male,some college,other,40377.21,0,1865.86,0,116846
9473.898264,1989,26,male,no college,white,78869.91,63439.24,48493.7,27987.9,31158.93
5571.3477781,1989,45,male,no college,white,26028.75,7463.44,0,0,58423
4772.4218215,1989,47,male,no college,white,253495.75,186586.01,13061.02,13061.02,48685.83
9530.4484225,1989,34,male,college degree,white,945804.47,223903.21,126878.49,126878.49,87634.5
6544.011568,1989,40,female,some college,white,38996.48,37317.2,0,0,13632.03
7140.1739311,1989,50,male,college degree,white,139006.58,0,30749.37,0,66212.73
7733.133216,1989,25,male,college degree,white,39836.11,0,16792.74,0,48685.83
7366.8910234,1989,70,male,no college,white,269355.56,31719.62,0,0,56475.57
4919.2049056,1989,63,male,no college,white,220171.49,186586.01,117549.18,93293,21421.77
4076.8743904,1989,41,female,no college,black,0,0,0,0,15579.47
8255.7531623,1989,48,male,some college,black,23696.42,0,15300.05,0,72055.03
8476.1612044,1989,24,male,no college,white,3731.72,0,0,0,31158.93
5663.7259763,1989,89,female,no college,white,386270.35,93293,0,0,70107.6
3612.4506353,1989,75,male,college degree,white,1032156.48,186586.01,0,0,52580.7
5797.5990293,1989,85,female,no college,white,18658.6,11195.16,0,0,9737.17
2544.036955,1989,66,male,no college,white,1386334.03,220171.49,7463.44,0,50633.27
3194.2739516,1989,31,male,no college,white,485907.28,0,11475.04,0,126583.17
8059.5911717,1989,52,male,no college,white,44556.74,37317.2,0,0,35053.8
7476.7509707,1989,35,male,some college,black,222970.28,179122.57,147402.95,126878.49,77897.33
7834.0385865,1989,52,female,no college,white,95121.55,93293,0,0,11684.6
7525.4171606,1989,47,male,no college,white,93199.71,74634.4,5597.58,0,72055.03
9994.874322,1989,34,male,some college,white,1026.22,0,0,0,9737.17
6922.302094,1989,42,male,college degree,white,247226.46,125012.62,14926.88,0,54528.13
3261.6792408,1989,35,male,no college,Hispanic,33585.48,0,16046.4,0,68160.17
9170.556492,1989,81,female,no college,white,169793.27,55975.8,0,0,13632.03
9097.2929613,1989,73,male,no college,white,202128.62,46646.5,0,0,38948.67
6887.9002754,1989,35,male,no college,white,94524.47,74634.4,55975.8,33585.48,81792.2
8716.0727353,1989,69,male,no college,white,158224.93,93293,0,0,27264.07
5860.4602821,1989,68,male,college degree,white,740746.45,74634.4,0,0,70107.6
11095.910254,1989,32,male,some college,white,98704,74634.4,52244.08,22390.32,33106.37
9052.0820961,1989,73,male,no college,white,107286.95,102622.3,0,0,111003.7
5399.501427,1989,51,male,some college,white,507700.53,158598.11,46721.14,0,112951.14
3745.2073759,1989,36,female,no college,white,13135.65,7463.44,0,0,11684.6
4425.7543253,1989,31,male,no college,white,18789.21,0,20524.46,0,81792.2
3261.6792408,1989,36,male,some college,Hispanic,70193.66,0,16792.74,0,66212.73
4241.7405977,1989,37,male,no college,Hispanic,18677.26,16792.74,15430.66,9329.3,38948.67
5767.6274321,1989,32,male,no college,other,19740.8,7463.44,1306.1,0,29211.5
2307.9324953,1989,35,male,no college,white,1472723.36,145537.09,0,0,179163.87
6677.6416935,1989,35,male,no college,Hispanic,755766.62,606404.52,188078.7,166061.55,64265.3
6341.3133309,1989,41,male,no college,other,600583.04,485123.62,274281.43,274281.43,79844.77
11360.516896,1989,27,male,college degree,white,8844.18,0,5597.58,0,58423
13376.778501,1989,21,female,no college,other,466.47,0,0,0,1752.69
6772.0832113,1989,89,male,no college,white,458105.97,307866.91,0,0,27264.07
6275.395873,1989,34,male,some college,white,1018517.04,167927.41,63439.24,63439.24,140215.2
4818.9239169,1989,60,male,no college,white,190317.73,186586.01,0,0,15579.47
5856.3448676,1989,63,male,no college,white,174252.67,102622.3,0,0,58423
9068.67245,1989,63,male,some college,white,5466.97,0,18.66,0,17526.9
9774.1570957,1989,75,female,no college,white,308650.57,134341.93,0,0,13632.03
9522.9290625,1989,58,male,no college,Hispanic,311262.78,123146.76,184589.54,119415.04,75949.9
10213.806605,1989,73,female,no college,white,104898.65,102622.3,65827.54,65305.1,15579.47
9204.2811681,1989,79,female,no college,white,4478.06,0,373.17,0,13632.03
9692.0208306,1989,66,female,no college,white,2015.13,0,1119.52,0,11684.6
7794.7712727,1989,77,female,no college,white,38735.26,37317.2,0,0,5842.3
6544.011568,1989,35,male,no college,white,62002.53,52244.08,39183.06,39183.06,40896.1
8859.2592157,1989,39,female,no college,white,4478.06,0,5504.29,0,62317.87
14028.437469,1989,28,female,some college,other,281464.99,279879.01,210842.19,194049.45,40896.1
6119.502822,1989,50,male,college degree,white,825643.08,156732.25,26122.04,26122.04,212270.24
8813.8326078,1989,45,female,college degree,white,170129.12,87695.42,35451.34,29853.76,103213.97
4434.3488147,1989,45,male,no college,white,201568.86,55975.8,27987.9,0,89581.94
4283.3623134,1989,39,female,no college,white,124452.87,93293,23229.96,13061.02,23369.2
5891.5107807,1989,33,male,no college,white,30786.69,22390.32,17632.38,14926.88,27264.07
4871.7351154,1989,49,male,college degree,white,268683.85,89561.28,55975.8,0,95424.24
7133.6636464,1989,80,male,no college,white,89561.28,74634.4,0,0,11684.6
6030.5206444,1989,36,male,some college,white,4104.89,0,18658.6,0,54528.13
1505.0661023,1989,68,male,college degree,white,9325568.65,373172.01,52244.08,0,173321.57
6341.3133309,1989,41,male,college degree,other,514044.45,485123.62,257488.69,231366.65,146057.5
6351.8296656,1989,66,male,no college,white,391457.44,242561.81,149.27,0,44790.97
6887.9002754,1989,39,male,no college,white,111951.6,83963.7,18434.7,16792.74,68160.17
7508.5386384,1989,78,female,no college,white,181921.36,74634.4,0,0,13632.03
4871.7351154,1989,51,male,no college,white,137103.4,74634.4,35451.34,29853.76,64265.3
4283.3623134,1989,44,male,no college,white,109525.99,83963.7,39276.35,16792.74,46738.4
5891.5107807,1989,33,male,no college,white,43026.73,37317.2,23640.45,18658.6,56475.57
4261.4667177,1989,41,female,no college,white,0,0,0,0,11684.6
5968.1247926,1989,19,male,some college,white,260287.48,22390.32,0,0,58423
4028.0996546,1989,35,female,no college,other,51311.15,9329.3,6903.68,0,35053.8
8947.7058492,1989,76,male,no college,white,8228.44,0,7314.17,0,29211.5
7167.4808705,1989,26,female,some college,white,8862.84,0,26122.04,0,50633.27
5646.3938421,1989,67,male,some college,white,454896.69,121280.9,1865.86,0,70107.6
11505.962707,1989,24,male,no college,white,7948.56,0,3395.87,0,40896.1
8947.802052,1989,65,female,no college,white,74634.4,9329.3,4851.24,1119.52,68160.17
12651.598618,1989,34,male,no college,Hispanic,140294.02,130610.21,33585.48,26122.04,44790.97
5395.9949404,1989,28,male,no college,Hispanic,7463.44,0,3731.72,0,31158.93
5235.1203843,1989,58,female,no college,black,839.64,0,0,0,17526.9
6185.27418,1989,85,female,no college,white,1418.05,0,261.22,0,9737.17
8571.0492612,1989,40,male,some college,white,132102.89,121280.9,106354.02,102622.3,87634.5
11416.66497,1989,70,male,no college,black,132252.16,65305.1,5840.14,0,42843.53
3233.9981358,1989,41,male,no college,other,213081.22,0,16792.74,0,87634.5
7441.1231309,1989,75,female,no college,white,13620.78,0,3731.72,0,19474.33
7167.4808705,1989,25,female,some college,white,38716.6,0,0,0,27264.07
12647.024613,1989,85,female,no college,white,65305.1,0,0,0,19474.33
12647.024613,1989,77,female,no college,white,7351.49,0,0,0,15579.47
6634.5207958,1989,50,female,no college,black,3731.72,0,0,0,3894.87
7774.8590703,1989,46,male,no college,white,1655073.86,55975.8,10262.23,0,37001.23
8684.6456488,1989,31,male,no college,white,58774.59,46646.5,2948.06,1865.86,62317.87
6971.1240658,1989,60,male,no college,white,385859.86,93293,3731.72,0,72055.03
9732.6274225,1989,40,male,some college,white,117735.77,46646.5,67544.13,67170.96,46738.4
3662.3332758,1989,80,male,some college,white,660514.47,123221.4,0,0,38948.67
3498.5010645,1989,40,male,college degree,white,395562.34,23323.25,52617.25,20897.63,97371.67
9405.4154084,1989,67,male,no college,white,47747.36,27987.9,373.17,0,27264.07
10698.194326,1989,25,male,some college,other,18360.06,9329.3,14460.42,11195.16,75949.9
8796.749975,1989,27,male,some college,white,35266.62,0,26010.09,0,42843.53
4833.2906161,1989,75,female,no college,other,59147.76,44780.64,0,0,7789.73
3627.5103819,1989,37,male,no college,black,8582.96,0,0,0,58423
4711.8814956,1989,37,male,college degree,black,794856.39,0,27987.9,0,116846
6939.0426289,1989,80,male,no college,white,82097.84,0,0,0,21421.77
6812.3850201,1989,40,male,some college,white,189571.38,93293,26122.04,26122.04,62317.87
4856.8771818,1989,80,female,no college,white,541920.4,74634.4,0,0,21421.77
6858.8872568,1989,53,male,some college,white,9236.01,0,1026.22,0,60370.43
4431.696408,1989,29,male,no college,white,486989.48,46646.5,597.08,0,38948.67
5029.9144487,1989,42,male,college degree,white,162012.63,93293,76500.26,57841.66,56475.57
8158.7707335,1989,45,female,some college,white,296317.24,279879.01,74634.4,61573.38,77897.33
7683.8494848,1989,44,male,no college,other,50415.54,0,16979.33,0,46738.4
6446.2795217,1989,54,male,no college,white,260940.53,177256.71,52244.08,50378.22,105161.4
4310.271696,1989,61,male,college degree,white,1104589.16,373172.01,65305.1,65305.1,167479.27
6887.9002754,1989,38,male,some college,white,146283.43,74634.4,84131.63,55975.8,68160.17
6089.1057812,1989,79,male,college degree,white,96558.26,46646.5,0,0,23369.2
4138.8913456,1989,40,male,some college,white,364682.35,128744.35,24629.35,0,79844.77
4925.2256136,1989,38,male,college degree,white,932930.04,0,0,0,408961.01
7094.9792391,1989,32,male,college degree,black,584017.93,279879.01,262321.27,201512.89,247324.04
8081.1281584,1989,43,female,no college,white,69783.17,16792.74,2539.44,130.61,42843.53
5003.8514083,1989,62,female,no college,white,52495.97,33585.48,3283.91,0,19474.33
11264.077361,1989,73,female,no college,white,137234.01,65305.1,0,0,21421.77
11293.919382,1989,74,male,no college,other,143764.52,93293,9329.3,9329.3,33106.37
9097.2929613,1989,73,male,no college,white,207858.68,74634.4,0,0,46738.4
7522.9478423,1989,65,female,college degree,white,352834.14,134341.93,7892.59,7463.44,13632.03
9549.5614443,1989,27,male,college degree,white,17725.67,0,93.29,0,35053.8
11293.1759,1989,23,female,college degree,white,27054.97,0,16083.71,0,7789.73
5799.8317623,1989,45,male,some college,white,139864.87,102622.3,83963.7,52244.08,75949.9
10076.188064,1989,46,female,no college,white,68010.6,0,23491.18,0,83739.63
6097.5927141,1989,28,male,some college,white,996649.16,0,10262.23,0,1947.43
6890.4726851,1989,33,male,no college,white,54109.94,0,11195.16,0,70107.6
5917.3490191,1989,78,female,no college,black,7929.91,0,93.29,0,3894.87
4818.9239169,1989,63,male,no college,white,320927.93,85829.56,0,0,116846
5099.3701846,1989,35,male,no college,white,166770.57,121280.9,114657.1,87695.42,68160.17
6097.3689389,1989,42,female,no college,white,0,0,18.66,0,9737.17
8041.6677637,1989,62,female,no college,black,1641.96,0,0,0,3894.87
8292.0220144,1989,35,male,no college,Hispanic,165557.76,158598.11,89374.7,87695.42,46738.4
8717.7106103,1989,35,male,some college,white,157795.79,115683.32,114638.44,0,56475.57
7717.1700543,1989,42,male,no college,white,10187.6,0,2705.5,0,17526.9
9895.9787412,1989,28,male,no college,white,37317.2,0,9236.01,0,62317.87
5986.5583904,1989,56,male,college degree,white,660887.64,369440.29,75194.16,65305.1,175269
12482.438659,1989,29,male,no college,white,213640.98,113817.46,79205.76,59707.52,27264.07
11840.831961,1989,20,male,no college,white,0,0,9329.3,0,5842.3
9526.6536481,1989,57,male,no college,white,5466.97,0,0,0,9737.17
8796.749975,1989,29,male,no college,white,1455.37,0,373.17,0,38948.67
10013.29137,1989,59,male,college degree,white,393696.48,0,186.59,0,126583.17
8344.9261237,1989,42,male,no college,black,67040.35,63439.24,26495.21,26122.04,38948.67
3524.5870184,1989,42,male,no college,white,214350.01,11195.16,20487.14,3134.64,85687.07
9915.196007,1989,45,male,no college,white,169401.44,111951.6,58774.59,50378.22,85687.07
7717.1700543,1989,35,male,no college,white,23474.39,0,4291.48,0,37001.23
7246.2495402,1989,27,male,some college,white,867718.23,429147.82,273535.09,244427.67,103213.97
10736.252609,1989,34,male,no college,Hispanic,4291.48,0,0,0,25316.63
9302.337997,1989,34,male,no college,Hispanic,28361.07,0,24125.57,0,66212.73
10797.792972,1989,21,female,some college,white,2052.45,0,0,0,15579.47
9476.9031943,1989,32,male,some college,white,329510.89,141805.37,135834.61,134341.93,70107.6
3830.7649937,1989,60,male,college degree,white,1782157.59,335854.81,0,0,48685.83
5904.0326637,1989,29,male,no college,white,887776.22,298537.61,217298.06,166061.55,97371.67
7748.1503767,1989,49,male,some college,white,223903.21,186586.01,44780.64,37317.2,46738.4
7366.8910234,1989,74,female,no college,white,319323.29,74634.4,0,0,27264.07
9956.2731443,1989,82,male,some college,white,124415.55,93293,8956.13,7463.44,17526.9
9503.2251066,1989,75,female,no college,white,189478.09,102622.3,0,0,64265.3
9352.1913262,1989,33,male,some college,Hispanic,13527.49,0,22390.32,0,68160.17
10221.525711,1989,51,male,college degree,Hispanic,336190.67,102622.3,264392.37,82097.84,97371.67
10076.188064,1989,46,male,college degree,white,12277.36,0,7463.44,0,44790.97
10612.000999,1989,77,female,no college,white,119415.04,0,335.85,0,33106.37
8373.8579481,1989,27,male,no college,white,2518.91,0,4104.89,0,50633.27
6668.5637401,1989,70,male,no college,white,744851.34,149268.81,0,0,68160.17
7949.8814057,1989,61,male,no college,white,332123.09,102622.3,5597.58,0,46738.4
5263.5899034,1989,52,male,no college,white,539046.98,0,8284.42,0,37001.23
7606.438709,1989,83,female,no college,white,225265.29,0,0,0,27264.07
8852.6185642,1989,67,female,no college,white,57934.96,0,0,0,15579.47
1474.8579349,1989,77,male,college degree,white,3040418.99,1119516.04,111951.6,0,229797.14
8986.3999031,1989,43,male,no college,black,3731.72,0,0,0,44790.97
6922.302094,1989,36,male,no college,white,260716.63,111951.6,40657.09,22390.32,79844.77
12045.480103,1989,30,male,no college,white,121187.61,106354.02,83403.95,82097.84,38948.67
7733.133216,1989,27,male,no college,white,14926.88,0,3918.31,0,23369.2
6110.7030744,1989,78,male,college degree,white,417392.9,134341.93,0,0,60370.43
4638.932217,1989,75,female,college degree,white,1689163.12,559758.02,257488.69,244427.67,155794.67
5986.5583904,1989,57,male,college degree,white,1029842.81,774331.93,354513.41,354513.41,247324.04
8078.6123626,1989,48,male,college degree,white,243755.96,233232.51,181193.67,179122.57,107108.84
4812.6100231,1989,82,female,some college,white,642844.77,261220.41,86426.64,85829.56,31158.93
5629.1969501,1989,71,male,no college,white,149250.15,139939.51,29853.76,18658.6,42843.53
9857.5613959,1989,71,male,college degree,white,916137.3,373172.01,0,0,85687.07
